"AC";"A1";"A2";"A3";"A4";"DATE";"ITOTAL";"USERID";"ONO";"PRINTED";"D1";"D2";"D3";"D4";"VAT";"SINTONO";"SOREC";"URTOTAL";"URVAT";"UREXVAT";"INVNO";"IPRINTED";"NOTES";"NOTES2";"TYPE"
"ROT002";"";"";"";"";"2018-10-05";3003.91;21;"";0;"";"";"";"";45.96;31368;0;2957.95;0.0;2957.95;32541;0;"";"";"I"
"MAS001";"";"";"";"";"2018-10-05";5008.29;20;"";0;"";"";"";"";60.72;31369;0;4947.57;0.0;4947.57;32522;0;"";"";"O"
"WES003";"D46";"NEW COVENT GARDEN";"LONDON";"SW8 5LL";"2018-10-05";650.74;21;"";0;"";"";"";"";8.94;31370;0;641.8;0.0;641.8;32563;0;"";"";"I"
"CLA001";"UNIT B 56/57";"NEW COVENT GARDEN MARKET";"LONDON  SW8  5HH";"";"2018-10-05";4610.02;20;"";0;"";"";"";"";66.42;31371;0;4543.6;0.0;4543.6;32486;0;"";"";"I"
"CHE001";"LUXFORD FARM";"BROAD STREET,WOOD STREET,";"GUILDFORD, GU3 3BN.";"";"2018-10-05";2323.4;20;"";0;"";"";"";"";28.8;31374;0;2294.6;0.0;2294.6;32484;0;"";"";"I"
"HIL001";"DOWNS FARM";"REIGATE ROAD";"EWELL";"SURREY  KT17 3BY";"2018-10-05";1472.72;20;"";0;"";"";"";"";20.52;31375;0;1452.2;0.0;1452.2;32510;0;"";"";"I"
"ALL001";"";"";"";"";"2018-10-05";6527.01;20;"";0;"";"";"";"";102.36;31377;0;6424.65;0.0;6424.65;32475;0;"";"";"I"
"SHE001";"";"";"";"";"2018-10-05";2707.48;20;"";0;"";"";"";"";49.98;31378;0;2657.5;0.0;2657.5;32547;0;"";"";"I"
"D.B001";"16 SOUTHSPRING";" SIDCUP";" DA15 8EA";"";"2018-10-05";328.94;20;"";0;"";"";"";"";4.44;31379;0;324.5;0.0;324.5;32476;0;"";"";"I"
"PAX001";"";"";"";"";"2018-10-05";1976.28;20;"";0;"";"";"";"";20.88;31380;0;1955.4;0.0;1955.4;32533;0;"";"";"I"
"GRE002";"ARCH 18";"FRUIT & VEG MARKET";"NEW COVENT GARDEN";"";"2018-10-05";2845.38;20;"";0;"";"";"";"";38.58;31381;0;2806.8;0.0;2806.8;32507;0;"";"";"I"
"ORT001";"";"";"";"";"2018-10-05";787.85;21;"";0;"";"";"";"";8.1;31382;0;779.75;0.0;779.75;32530;0;"";"";"I"
"E.H001";"UNIT 4, BATFORD MILL IND. EST.";"LOWER LUTON RD. BATFORD,";"HERTS.. AL5 5BZ";"";"2018-10-05";2021.57;20;"";0;"";"";"";"";34.92;31383;0;1986.65;0.0;1986.65;32493;0;"";"";"I"
"FOO002";"";"";"";"";"2018-10-05";755.2;21;"";0;"";"";"";"";12.3;31384;0;742.9;0.0;742.9;32501;0;"";"";"I"
"RUS001";"";"";"";"";"2018-10-05";726.69;20;"";0;"";"";"";"";9.54;31386;0;717.15;0.0;717.15;32542;0;"";"";"O"
"MEA001";"";"";"";"";"2018-10-05";71.52;21;"";0;"";"";"";"";1.02;31387;0;70.5;0.0;70.5;32524;0;"";"";"I"
"M.G001";"";"";"";"";"2018-10-05";6348.98;20;"";0;"";"";"";"";77.28;31389;0;6271.7;0.0;6271.7;32520;0;"";"";"I"
"THO003";"";"";"";"";"2018-10-05";664.64;21;"";0;"";"";"";"";8.34;31391;0;656.3;0.0;656.3;32560;0;"";"";"I"
"ORM001";"";"";"";"";"2018-10-05";544.3;21;"";0;"";"";"";"";8.7;31392;0;535.6;0.0;535.6;32529;0;"";"";"I"
"MCB001";"2 SILVERWING IND. EST.";"HORATIOUS WAY";"CROYDON";"CRO 4RU";"2018-10-04";258.68;21;"";0;"";"";"";"";3.48;31393;0;255.2;0.0;255.2;32523;0;"";"";"I"
"SMI002";"";"";"";"";"2018-10-05";2712.92;21;"";0;"";"";"";"";35.82;31394;0;2677.1;0.0;2677.1;32550;0;"";"";"I"
